,Date,Gas_Price_Value
0,9/1/2023,3.958
1,8/1/2023,3.954
2,7/1/2023,3.712
3,6/1/2023,3.684
4,5/1/2023,3.666
5,4/1/2023,3.711
6,3/1/2023,3.535
7,2/1/2023,3.501
8,1/1/2023,3.445
9,12/1/2022,3.324
10,11/1/2022,3.799
11,10/1/2022,3.935
12,9/1/2022,3.817
13,8/1/2022,4.087
14,7/1/2022,4.668
15,6/1/2022,5.032
16,5/1/2022,4.545
17,4/1/2022,4.213
18,3/1/2022,4.322
19,2/1/2022,3.611
20,1/1/2022,3.413
21,12/1/2021,3.406
22,11/1/2021,3.491
23,10/1/2021,3.384
24,9/1/2021,3.272
25,8/1/2021,3.255
26,7/1/2021,3.231
27,6/1/2021,3.157
28,5/1/2021,3.076
29,4/1/2021,2.948
30,3/1/2021,2.898
31,2/1/2021,2.587
32,1/1/2021,2.42
33,12/1/2020,2.284
34,11/1/2020,2.2
35,10/1/2020,2.248
36,9/1/2020,2.274
37,8/1/2020,2.272
38,7/1/2020,2.272
39,6/1/2020,2.17
40,5/1/2020,1.961
41,4/1/2020,1.938
42,3/1/2020,2.329
43,2/1/2020,2.533
44,1/1/2020,2.636
45,12/1/2019,2.645
46,11/1/2019,2.693
47,10/1/2019,2.724
48,9/1/2019,2.681
49,8/1/2019,2.707
50,7/1/2019,2.823
51,6/1/2019,2.804
52,5/1/2019,2.946
53,4/1/2019,2.881
54,3/1/2019,2.594
55,2/1/2019,2.393
56,1/1/2019,2.338
57,12/1/2018,2.457
58,11/1/2018,2.736
59,10/1/2018,2.943
60,9/1/2018,2.915
61,8/1/2018,2.914
62,7/1/2018,2.928
63,6/1/2018,2.97
64,5/1/2018,2.987
65,4/1/2018,2.873
66,3/1/2018,2.709
67,2/1/2018,2.705
68,1/1/2018,2.671
69,12/1/2017,2.594
70,11/1/2017,2.678
71,10/1/2017,2.621
72,9/1/2017,2.761
73,8/1/2017,2.494
74,7/1/2017,2.414
75,6/1/2017,2.46
76,5/1/2017,2.503
77,4/1/2017,2.528
78,3/1/2017,2.437
79,2/1/2017,2.416
80,1/1/2017,2.458
81,12/1/2016,2.366
82,11/1/2016,2.295
83,10/1/2016,2.359
84,9/1/2016,2.327
85,8/1/2016,2.284
86,7/1/2016,2.345
87,6/1/2016,2.467
88,5/1/2016,2.371
89,4/1/2016,2.216
90,3/1/2016,2.071
91,2/1/2016,1.872
92,1/1/2016,2.057
93,12/1/2015,2.144
94,11/1/2015,2.26
95,10/1/2015,2.387
96,9/1/2015,2.462
97,8/1/2015,2.726
98,7/1/2015,2.88
99,6/1/2015,2.885
100,5/1/2015,2.802
101,4/1/2015,2.555
102,3/1/2015,2.546
103,2/1/2015,2.301
104,1/1/2015,2.208
105,12/1/2014,2.632
106,11/1/2014,2.997
107,10/1/2014,3.255
108,9/1/2014,3.484
109,8/1/2014,3.565
110,7/1/2014,3.688
111,6/1/2014,3.766
112,5/1/2014,3.75
113,4/1/2014,3.735
114,3/1/2014,3.606
115,2/1/2014,3.434
116,1/1/2014,3.392
117,12/1/2013,3.357
118,11/1/2013,3.322
119,10/1/2013,3.42
120,9/1/2013,3.604
121,8/1/2013,3.645
122,7/1/2013,3.661
123,6/1/2013,3.689
124,5/1/2013,3.675
125,4/1/2013,3.638
126,3/1/2013,3.779
127,2/1/2013,3.736
128,1/1/2013,3.391
129,12/1/2012,3.381
130,11/1/2012,3.521
131,10/1/2012,3.812
132,9/1/2012,3.91
133,8/1/2012,3.78
134,7/1/2012,3.498
135,6/1/2012,3.596
136,5/1/2012,3.791
137,4/1/2012,3.958
138,3/1/2012,3.907
139,2/1/2012,3.64
140,1/1/2012,3.44
141,12/1/2011,3.326
142,11/1/2011,3.443
143,10/1/2011,3.506
144,9/1/2011,3.667
145,8/1/2011,3.696
146,7/1/2011,3.705
147,6/1/2011,3.735
148,5/1/2011,3.96
149,4/1/2011,3.852
150,3/1/2011,3.615
151,2/1/2011,3.264
152,1/1/2011,3.148
153,12/1/2010,3.048
154,11/1/2010,2.913
155,10/1/2010,2.853
156,9/1/2010,2.757
157,8/1/2010,2.783
158,7/1/2010,2.782
159,6/1/2010,2.785
160,5/1/2010,2.89
161,4/1/2010,2.9
162,3/1/2010,2.824
163,2/1/2010,2.699
164,1/1/2010,2.769
165,12/1/2009,2.663
166,11/1/2009,2.706
167,10/1/2009,2.605
168,9/1/2009,2.609
169,8/1/2009,2.67
170,7/1/2009,2.582
171,6/1/2009,2.681
172,5/1/2009,2.316
173,4/1/2009,2.102
174,3/1/2009,2.011
175,2/1/2009,1.975
176,1/1/2009,1.84
177,12/1/2008,1.745
178,11/1/2008,2.208
179,10/1/2008,3.112
180,9/1/2008,3.756
181,8/1/2008,3.833
182,7/1/2008,4.114
183,6/1/2008,4.105
184,5/1/2008,3.815
185,4/1/2008,3.507
186,3/1/2008,3.293
187,2/1/2008,3.078
188,1/1/2008,3.095
189,12/1/2007,3.07
190,11/1/2007,3.128
191,10/1/2007,2.853
192,9/1/2007,2.849
193,8/1/2007,2.834
194,7/1/2007,3.011
195,6/1/2007,3.102
196,5/1/2007,3.187
197,4/1/2007,2.891
198,3/1/2007,2.609
199,2/1/2007,2.323
200,1/1/2007,2.289
201,12/1/2006,2.359
202,11/1/2006,2.275
203,10/1/2006,2.293
204,9/1/2006,2.606
205,8/1/2006,2.999
206,7/1/2006,3.025
207,6/1/2006,2.93
208,5/1/2006,2.953
209,4/1/2006,2.787
210,3/1/2006,2.468
211,2/1/2006,2.326
212,1/1/2006,2.36
213,12/1/2005,2.229
214,11/1/2005,2.303
215,10/1/2005,2.765
216,9/1/2005,2.951
217,8/1/2005,2.529
218,7/1/2005,2.333
219,6/1/2005,2.198
220,5/1/2005,2.205
