station_id,station_name
HB203,Bloomfield St & 15 St
JC035,Van Vorst Park
JC074,Jersey & 3rd
JC077,Astor Place
HB402,Madison St & 1 St
JC057,Riverview Park
HB506,Grand St & 14 St
HB602,Stevens - River Ter & 6 St
JC052,Liberty Light Rail
HB103,South Waterfront Walkway - Sinatra Dr & 1 St
JC020,Baldwin at Montgomery
JC065,Dey St
JC104,Harborside
JC063,Jackson Square
JC093,Fairmount Ave
JC027,Jersey & 6th St
JC075,Monmouth and 6th
JC055,McGinley Square
JC105,Hoboken Ave at Monmouth St
JC059,Heights Elevator
JC082,Manila & 1st
JC108,Bergen Ave & Stegman St
HB301,4 St & Grand St
JC022,Oakland Ave
JC072,Morris Canal
HB202,14 St Ferry - 14 St & Shipyard Ln
JC081,Brunswick & 6th
JC018,5 Corners Library
JC098,Washington St
JC099,Montgomery St
HB505,Willow Ave & 12 St
HB303,Clinton St & 7 St
HB404,Mama Johnson Field - 4 St & Jackson St
JC011,JC Medical Center
JC019,Hilltop
JC006,Warren St
JC013,Marin Light Rail
HB607,Hudson St & 4 St
JC097,York St & Marin Blvd
JC109,Bergen Ave & Sip Ave
HB304,7 St & Monroe St
HB101,Hoboken Terminal - Hudson St & Hudson Pl
JC066,Newport PATH
JC107,Grant Ave & MLK Dr
JC023,Brunswick St
JC084,Communipaw & Berry Lane
JC076,Dixon Mills
HB102,Hoboken Terminal - River St & Hudson Pl
JC009,Hamilton Park
HB507,Adams St & 11 St
HB105,City Hall - Washington St & 1 St
JC008,Newport Pkwy
JC094,Glenwood Ave
HB409,Clinton St & Newark St
JC053,Lincoln Park
HB503,Madison St & 10 St
JC103,Journal Square
HB201,12 St & Sinatra Dr N
JC002,Paulus Hook
HB601,Church Sq Park - 5 St & Park Ave
JC003,City Hall
HB305,9 St HBLR - Jackson St & 8 St
JC095,Bergen Ave
JC024,Pershing Field
HB408,Marshall St & 2 St
JC014,Columbus Drive
JC034,Christ Hospital
HB501,Columbus Park - Clinton St & 9 St
HB302,6 St & Grand St
HB603,8 St & Washington St
JC051,Union St
JC078,Lafayette Park
JC102,Grand St
HB407,Adams St & 2 St
HB401,Southwest Park - Jackson St & Observer Hwy
JC032,Newark Ave
HB502,11 St & Washington St
JC080,Leonard Gordon Park
JC005,Grove St PATH
JC038,Essex Light Rail
JC106,Columbus Dr at Exchange Pl
JC056,Sip Ave
JCSYS,JCBS Depot
MTL-ECO5-LAB,MTL-ECO5-LAB
null,null
JC110,JC Medical Center
JC115,Grove St PATH
