Employee Number	Department	Job Title
MNC-0001	Directorate	CEO
MNC-0002	Directorate	Director of Customer Services
MNC-0003	Directorate	Director of Finance
MNC-0004	Directorate	Director of Logistics
MNC-0005	Directorate	Director of Marketing
MNC-0006	Directorate	Director of Procurement
MNC-0007	Directorate	Director of Quality
MNC-0008	Directorate	Director of Sales
MNC-0009	Customer Services	Customer Services Manager
MNC-0010	Finance	Finance Manager
MNC-0011	Logistics	Logistics Manager
MNC-0012	Marketing	Marketing Manager
MNC-0013	Procurement	Procurement Manager
MNC-0014	Directorate	PA to CEO
MNC-0015	Sales	Sales Manager
MNC-0016	Logistics	Logistics Supervisor
MNC-0017	Sales	Sales Supervisor North
MNC-0018	Sales	Sales Supervisor East
MNC-0019	Sales	Sales Supervisor South
MNC-0020	Sales	Sales Supervisor West
MNC-0021	Procurement	Senior Buyer
MNC-0022	Quality	Quality Manager
MNC-0023	Sales	Sales North
MNC-0024	Sales	Sales North
MNC-0025	Sales	Sales North
MNC-0026	Finance	Accounts Payable
MNC-0027	Sales	Sales South
MNC-0028	Sales	Sales East
MNC-0029	Logistics	Warehouse Operative
MNC-0030	Logistics	Driver
MNC-0031	Logistics	Goods In Operative
MNC-0032	Procurement	Buyer
MNC-0033	Logistics	Goods In Operative
MNC-0034	Customer Services	Telesales Operative
MNC-0035	Customer Services	Telesales Operative
MNC-0036	Customer Services	Telesales Operative
MNC-0037	Finance	Accounts Receivable
MNC-0038	Customer Services	Telesales Operative
MNC-0039	Sales	Sales North
MNC-0040	Sales	Sales South
MNC-0041	Logistics	Goods In Operative
MNC-0042	Logistics	Driver
MNC-0043	Logistics	Warehouse Operative
MNC-0044	Sales	Sales East
MNC-0045	Customer Services	Telesales Operative
MNC-0046	Logistics	Driver
MNC-0047	Quality	Quality Supervisor
MNC-0048	Procurement	Senior Buyer
MNC-0049	Customer Services	Telesales Operative
MNC-0050	Finance	Accounts Receivable
MNC-0051	Customer Services	Telesales Operative
MNC-0052	Logistics	Driver
MNC-0053	Logistics	Warehouse Operative
MNC-0054	Customer Services	Telesales Operative
MNC-0055	Customer Services	Telesales Operative
MNC-0056	Logistics	Warehouse Operative
MNC-0057	Customer Services	Telesales Operative
MNC-0058	Sales	Sales East
MNC-0059	Logistics	Warehouse Operative
MNC-0060	Logistics	Goods In Operative
MNC-0061	Logistics	Driver
MNC-0062	Customer Services	Telesales Operative
MNC-0063	Customer Services	Telesales Operative
MNC-0064	Finance	Accounts Payable
MNC-0065	Customer Services	Telesales Operative
MNC-0066	Logistics	Warehouse Operative
MNC-0067	Customer Services	Telesales Operative
MNC-0068	Procurement	Junior Buyer
MNC-0069	Sales	Sales North
MNC-0070	Logistics	Goods In Operative
MNC-0071	Finance	Accounts Payable
MNC-0072	Logistics	Warehouse Operative
MNC-0073	Logistics	Driver
MNC-0074	Finance	Accounts Receivable
MNC-0075	Sales	Sales West
MNC-0076	Quality	Quality Assurance Operative
MNC-0077	Procurement	Purchasing Administrator
MNC-0078	Customer Services	Telesales Operative
MNC-0079	Sales	Sales South
MNC-0080	Sales	Sales South
MNC-0081	Directorate	PA to Director of Customer Services
MNC-0082	Logistics	Driver
MNC-0083	Directorate	PA to Director of Finance
MNC-0084	Logistics	Driver
MNC-0085	Logistics	Driver
MNC-0086	Finance	Accounts Receivable
MNC-0087	Customer Services	Telesales Operative
MNC-0088	Logistics	Driver
MNC-0089	Customer Services	Telesales Operative
MNC-0090	Customer Services	Telesales Operative
MNC-0091	Logistics	Driver
MNC-0092	Customer Services	Telesales Operative
MNC-0093	Customer Services	Telesales Operative
MNC-0094	Customer Services	Telesales Operative
MNC-0095	Customer Services	Telesales Operative
MNC-0096	Logistics	Driver
MNC-0097	Finance	Accounts Payable
MNC-0098	Quality	Quality Assurance Operative
MNC-0099	Sales	Sales West
MNC-0100	Directorate	PA to Director of Logistics
MNC-0101	Logistics	Driver
MNC-0102	Customer Services	Telesales Operative
MNC-0103	Customer Services	Telesales Operative
MNC-0104	Customer Services	Telesales Operative
MNC-0105	Logistics	Driver
