ss_sold_date_sk,ss_sold_time_sk,ss_item_sk,ss_customer_sk,ss_cdemo_sk,ss_hdemo_sk,ss_addr_sk,ss_store_sk,ss_promo_sk,ss_ticket_number,ss_quantity,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_discount_amt,ss_ext_sales_price,ss_ext_wholesale_cost,ss_ext_list_price,ss_ext_tax,ss_coupon_amt,ss_net_paid,ss_net_paid_inc_tax,ss_net_profit
2450944,57314,1240,94488,1196910,1732,13307,1,45,55968,68,4.49,7.76,3.95,0.0,268.6,305.32,527.68,21.48,0.0,268.6,290.08,-1.72
2450944,35556,17918,94032,455056,6033,47457,1,50,8642,7,40.67,56.53,12.43,0.0,87.01,284.69,395.71,7.83,0.0,87.01,94.84,-2.68
2451176,47181,5684,39335,1873544,2153,1962,10,59,240001,68,81.95,105.71,1.05,0.0,71.4,5572.6,7188.28,1.42,0.0,71.4,72.82,-3.2
2451176,47181,8935,39335,1873544,2153,1962,10,216,240001,86,83.78,150.8,150.8,0.0,12968.8,7205.08,12968.8,0.0,0.0,12968.8,12968.8,4.72
2452270,42327,52217,14563,232020,5230,75287,22,373,240001,31,14.56,15.28,0.45,0.0,13.95,451.36,473.68,0.55,0.0,13.95,14.5,-437.41
2452270,42327,16431,14563,232020,5230,75287,22,4,240001,1,46.26,63.37,46.26,12.02,46.26,46.26,63.37,1.02,12.02,34.24,35.26,-12.02
2452270,42327,28465,14563,232020,5230,75287,22,146,240001,76,56.9,64.29,43.07,0.0,3273.32,4324.4,4886.04,294.59,0.0,3273.32,3567.91,-1051.08
2452270,42327,13059,14563,232020,5230,75287,22,249,240001,11,36.51,52.2,41.23,0.0,453.53,401.61,574.2,0.0,0.0,453.53,453.53,51.92
2452270,42327,47803,14563,232020,5230,75287,22,46,240001,89,23.08,32.31,6.46,0.0,574.94,2054.12,2875.59,51.74,0.0,574.94,626.68,-1479.18
2452270,42327,21891,14563,232020,5230,75287,22,62,240001,71,52.87,88.82,23.09,655.75,1639.39,3753.77,6306.22,88.52,655.75,983.64,1072.16,-2770.13
2452270,42327,53727,14563,232020,5230,75287,22,197,240001,45,6.61,12.36,1.85,0.0,83.25,297.45,556.2,4.99,0.0,83.25,88.24,-214.2
2452270,42327,47319,14563,232020,5230,75287,22,326,240001,63,16.38,25.22,20.93,0.0,1318.59,1031.94,1588.86,79.11,0.0,1318.59,1397.7,286.65
2452270,42327,20561,14563,232020,5230,75287,22,212,240001,91,59.63,63.8,0.63,0.0,57.33,5426.33,5805.8,4.01,0.0,57.33,61.34,-5369.0
2452270,42327,32643,14563,232020,5230,75287,22,332,240001,27,68.1,89.21,63.33,1145.63,1709.91,1838.7,2408.67,5.64,1145.63,564.28,569.92,-1274.42
2452270,42327,19551,14563,232020,5230,75287,22,92,240001,23,59.47,82.06,45.95,0.0,1056.85,1367.81,1887.38,31.7,0.0,1056.85,1088.55,-310.96
2452270,42327,1601,14563,232020,5230,75287,22,259,240001,30,82.32,92.19,55.31,0.0,1659.3,2469.6,2765.7,132.74,0.0,1659.3,1792.04,-810.3
2451377,43017,20017,32038,163642,1293,53744,4,286,240002,6,5.84,11.5,10.58,0.0,63.48,35.04,69.0,1.26,0.0,63.48,64.74,28.44
2451377,43017,9493,32038,163642,1293,53744,4,205,240002,2,33.03,59.78,37.06,0.0,74.12,66.06,119.56,2.22,0.0,74.12,76.34,8.06
2451377,43017,52424,32038,163642,1293,53744,4,222,240002,72,32.24,43.84,24.55,0.0,1767.6,2321.28,3156.48,35.35,0.0,1767.6,1802.95,-553.68
2451377,43017,10945,32038,163642,1293,53744,4,375,240002,44,46.74,50.01,12.0,0.0,528.0,2056.56,2200.44,42.24,0.0,528.0,570.24,-1528.56
2451377,43017,13975,32038,163642,1293,53744,4,181,240002,64,75.79,131.11,83.91,0.0,5370.24,4850.56,8391.04,322.21,0.0,5370.24,5692.45,519.68
2451377,43017,15433,32038,163642,1293,53744,4,287,240002,10,77.1,131.07,7.86,0.0,78.6,771.0,1310.7,3.14,0.0,78.6,81.74,-692.4
2451377,43017,1354,32038,163642,1293,53744,4,99,240002,1,43.94,47.01,46.06,0.0,46.06,43.94,47.01,0.0,0.0,46.06,46.06,2.12
2451377,43017,53390,32038,163642,1293,53744,4,134,240002,7,51.6,77.91,53.75,0.0,376.25,361.2,545.37,18.81,0.0,376.25,395.06,15.05
2451673,48243,30997,,666074,,81409,4,306,240003,6,,62.77,23.22,0.0,139.32,327.54,,11.14,0.0,,,
2451673,48243,53108,17830,666074,2765,81409,4,202,240003,52,92.57,101.82,32.58,0.0,1694.16,4813.64,5294.64,118.59,0.0,1694.16,1812.75,-3119.48
2451673,48243,15425,17830,666074,2765,81409,4,100,240003,97,91.64,176.86,152.09,0.0,14752.73,8889.08,17155.42,295.05,0.0,14752.73,15047.78,5863.65
,,19724,17830,,2765,,,,240003,88,47.38,,43.94,,,,,232.0,,,,-302.72
2451673,48243,29197,17830,666074,2765,81409,4,110,240003,13,50.69,97.32,72.99,0.0,948.87,658.97,1265.16,18.97,0.0,948.87,967.84,289.9
2451673,48243,53633,17830,666074,2765,81409,4,132,240003,63,65.63,71.53,62.23,0.0,3920.49,4134.69,4506.39,78.4,0.0,3920.49,3998.89,-214.2
